X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
Tennessee,,No,White/Caucasian,No,Bisexual/pansexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999","Yes, extended family",No,No,Private,6,My school did not offer,6,My school did not offer,"Academic Clubs/Competition, Cultural and Affinity Clubs, Journalism, Model UN",No,,EDI,2,,Vanderbilt was my first choice,"Yes, and I submitted it",No,1580,,No,"Location, Academics, Brand name/rankings","Campus tour, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,Physics,No,Gillette,Gillette,"Yes, less than half the cost of attendance",No,I don't know,No,1,6,2,2,7,6,4,7,6,3,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Instagram, X (formerly Twitter)",Never,Once a month,Once a month,Once a month,None,Yes,N/A (I have never owned a fake ID)
Tennessee,,No,Asian/Pacific Islander,No,Questioning/unsure,Woman,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Speech and Debate, Paid work","Yes, in high school but not in college","Writing, Math",EDI,6,"Baylor, Loyola, Tennessee Tech",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, and I submitted it",,36,No,"Location, Academics, Brand name/rankings",None,College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Murray,Hank Ingram,"Yes, less than half the cost of attendance",No,$0 ,"Not sure, No",4,1,1,7,4,4,4,1,7,6,I am registered to vote but do not vote,Prefer not to answer,4-6 hours,No news,Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Washington,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,Christian,"$500,000 - $749,999",No,No,No,Private,My school did not offer,My school did not offer,10+,My school did not offer,"Advocacy, Athletics, Community Service, Music, Research, Theater, Paid work","Yes, in high school but not in college","Writing, Math",EDII,21,,Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it","Yes, but I did not submit it",1540,36,No,"Academics, Brand name/rankings, Student Life",Campus tour,College of Arts of Science,No,Economics and History,"Yes, as a pre-med student",Memorial,Memorial,No,No,$0 ,No,4,3,4,6,6,2,4,3,5,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram, Youtube",Once a month,Once a week,Never,Never,None,No,Colorado
Pennsylvania,I live in Pittsburgh but am international from the UK,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$200,000 - $299,999",No,No,No,Private,3,My school did not offer,My school did not offer,0,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Research, EMT, Volunteering","Yes, in both high school and college","Writing, Research",Regular Decision,22,"UNC Chapel Hill, UC San Diego, University of Florida, University of Pittsburgh, Pennsylvania State University",Vanderbilt was not my first choice nor was it among my top choices,"Yes, and I submitted it","Yes, and I submitted it",1560,35,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Post-grad opportunities, Brand name/rankings",Anchor Day (admitted students day),College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Sutherland,Sutherland,No,"Yes, covers partial tuition",$0 ,Not sure,3,2,1,7,3,7,4,2,7,4,I am not eligible to vote,I am not eligible to vote,Less than an hour,Don't consume news,Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
New York,,No,White/Caucasian,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$300,000 - $499,999",No,No,No,Private,My school did not offer,My school did not offer,5,My school did not offer,"Academic Clubs/Competition, Athletics, Journalism, Research, Paid work","Yes, in high school but not in college","Research, Coding",EDI,16,,Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Campus, Student Life",Campus tour,College of Arts of Science,No,Philosophy,No,Gillette,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",3,4,4,6,7,5,3,4,6,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,News websites/apps,Once a week,Twice a week,Once a month,Once a week,None,Yes,New Jersey
Texas,,No,White/Caucasian,Yes,Heterosexual,Man,No,Yes,Christian,"Under $50,000",No,No,No,Public,3,My school did not offer,3,10+,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Religious group, Student Government",No,,EDII,60,Specify Later? ,Vanderbilt was not my first choice but was one of my top choices,No,No,,,No,"Cost, Academics, Post-grad opportunities","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",North,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,4,5,5,7,4,4,4,1,4,1,"I am eligible to vote, but am not registered",Prefer not to answer,6-9 hours,"News websites/apps, Television, Instagram, Facebook, TikTok, X (formerly Twitter)",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
New York,,No,White/Caucasian,No,Heterosexual,Man,No,No,Jewish,"$750,000 - $999,999","Yes, sibling(s)",No,No,Public,8,My school did not offer,8,7,"Academic Clubs/Competition, Athletics, Community Service, Music, Research, Paid work","Yes, in both high school and college","Writing, Research",EDI,10,"SUNY Binghamton, Penn State University, University of Wisconsin-Madison, University of Georgia, ",Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Brand name/rankings, Student Life",Campus tour,College of Arts of Science,No,Psychology,No,East,East,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",3,4,5,7,7,6,4,6,6,1,I am registered to vote but do not vote,I intend to vote for a third party candidate,2-4 hours,"News websites/apps, Instagram, TikTok, X (formerly Twitter)",Once a week,Twice a week,Once a month,Once a week,Psilocybin (Shrooms),No,Connecticut
None of the Above,United Kingdom,No,African American/Black,No,Bisexual/pansexual,Woman,No,Yes,Muslim,"Under $50,000",No,No,No,Public,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Advocacy, Community Service, Family Responsibilities, Career-oriented internship, Model UN, Religious group, Speech and Debate, Paid work","Yes, in both high school and college","Writing, Research",EDI,6,"University of Edinburgh, University of Manchester, University of Glasgow, University of Liverpool, University of Leeds",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,24,No,"Academics, Brand name/rankings, Student Life",None,College of Arts of Science,No,English,No,North,North,"Yes, full cost of attendence",No,$0 ,No,1,7,2,1,7,1,1,7,7,6,"Yes, in my home state/country",I am not eligible to vote,4-6 hours,"News websites/apps, Television, Print, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$300,000 - $499,999",No,No,No,Private,6,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Community Service, Family Responsibilities, Career-oriented internship, Music, Model UN, Research, Speech and Debate, Student Government, Paid work","Yes, in both high school and college","Research, Coding, Math",EDII,14,,Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,No,"Location, Academics, Campus","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Neuroscience,"Yes, as a pre-med student",Stambaugh,Hank Ingram,No,No,$0 ,No,4,1,1,7,5,1,1,3,5,7,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Television, Instagram, Youtube",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,No,No,Public,5,My school did not offer,10+,3,"Academic Clubs/Competition, Advocacy, Community Service, Career-oriented internship, Student Government, Paid work","Yes, in high school but not in college",Writing,EDI,4,University of Tennessee ,Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring","Academics, School size, Student Life","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,"Yes, Engineering",Public Policy Studies,"Yes, as a pre-law student",Crawford,Stambaugh,"Yes, more than half the cost of attendance",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,3,2,7,6,6,4,4,7,1,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Television, Instagram, TikTok",Once a month,Twice a week,Once a month,Once a month,None,Yes,Missouri
